TCR_EL1,RW,64,Translation Control Register
MAIR_EL1,RW,64,Memory Attribute Indirection Register
AMAIR_EL1,RW,64,Auxiliary Memory Attribute Indirection Register
CONTEXTIDR_EL1,RW,32,Context ID Register
ACTLR_EL1,RW,32,Auxiliary Control Register
CPACR_EL1,RW,32,Architectural Feature Access Control Register
PAR_EL1,RW,64,Physical Address Register
TPIDR_EL0,RW,64,Thread Pointer/ID Register
TPIDR_EL1,RW,64,Thread Pointer/ID Register
TPIDRRO_EL0,RW/RO,64,Thread Pointer/ID Register
ICC_AP0R0_EL1,RW,32,Active Priorities 0 Register 0
ICC_AP1R0_EL1,RW,32,Active Priorities 1 Register 0
ICC_ASGI1R_EL1,WO,64,Alternate SGI Generation Register 1
ICC_BPR0_EL1,RW,32,Binary Point Register 0
ICC_BPR1_EL1,RW,32,Binary Point Register 1
ICC_CTLR_EL1,RW,32,Interrupt Control Register for EL1
ICC_DIR_EL1,WO,32,Deactivate Interrupt Register
ICC_EOIR0_EL1,WO,32,End Of Interrupt Register 0
ICC_EOIR1_EL1,WO,32,End Of Interrupt Register 1
ICC_HPPIR0_EL1,RO,32,Highest Priority Pending Interrupt Register 0
ICC_HPPIR1_EL1,RO,32,Highest Priority Pending Interrupt Register 1
ICC_IAR0_EL1,RO,32,Interrupt Acknowledge Register 0
ICC_IAR1_EL1,RO,32,Interrupt Acknowledge Register 1
ICC_IGRPEN0_EL1,RW,32,Interrupt Group Enable Register 0
ICC_IGRPEN1_EL1,RW,32,Interrupt Group Enable Register 1
ICC_PMR_EL1,RW,32,Priority Mask Register
ICC_RPR_EL1,RO,32,Running Priority Register
ICC_SGI0R_EL1,WO,64,SGI Generation Register 0
ICC_SGI1R_EL1,WO,64,SGI Generation Register 1
ICC_SRE_EL1,RW,32,System Register Enable Register for EL1
CNTKCTL_EL1,RW,32,Counter-timer Kernel Control register
CNTFRQ_EL0,RW/RO,32,Counter-timer Frequency register
CNTPCT_EL0,RO,64,Counter-timer Physical Count register
CNTVCT_EL0,RO,64,Counter-timer Virtual Count register
CNTP_TVAL_EL0,RW,32,Counter-timer Physical Timer TimerValue register
CNTP_CTL_EL0,RW,32,Counter-timer Physical Timer Control register
CNTP_CVAL_EL0,RW,64,Counter-timer Physical Timer CompareValue register
CNTV_TVAL_EL0,RW,32,Counter-timer Virtual Timer TimerValue register
CNTV_CTL_EL0,RW,32,Counter-timer Virtual Timer Control register
CNTV_CVAL_EL0,RW,64,Counter-timer Virtual Timer CompareValue register
CNTPS_TVAL_EL1,RW,32,Counter-timer Physical Secure Timer TimerValue register
CNTPS_CTL_EL1,RW,32,Counter-timer Physical Secure Timer Control register
CNTPS_CVAL_EL1,RW,64,Counter-timer Physical Secure Timer CompareValue register
L2CTLR_EL1,RW,32,L2 Control Register
L2ECTLR_EL1,RW,32,L2 Extended Control Register
L2ACTLR_EL1,RW,32,L2 Auxiliary Control Register
CPUACTLR_EL1,RW,64,CPU Auxiliary Control Register
CPUECTLR_EL1,RW,64,CPU Extended Control Register
CPUMERRSR_EL1,RW,64,CPU Memory Error Syndrome Register
L2MERRSR_EL1,RW,64,L2 Memory Error Syndrome Register
CBAR_EL1,RO,64,Configuration Base Address Register
